employe_id,branch_id,salary,join_date,resign_date,days_of_work,total_work_hours,effectiveness,salary_suitability,payroll_effectiveness_score
44,2623,9500000,3/4/2019,,,3205,overwork,suitable,75
45,2623,10000000,3/1/2019,8/20/2020,538,1561,overwork,suitable,75
46,2623,7500000,3/1/2019,,,1847,overwork,suitable,75
47,2623,14500000,3/1/2019,3/10/2020,375,939,overwork,suitable,75
48,2623,11000000,3/1/2019,,,2742,overwork,suitable,75
49,2623,8000000,3/1/2019,,,2665,overwork,suitable,75
50,2623,9000000,7/1/2019,,,3057,overwork,suitable,75
51,2623,5500000,7/22/2019,,,2867,overwork,suitable,75
52,2590,5500000,8/5/2019,,,2576,overwork,suitable,75
53,2590,9500000,8/5/2019,,,2626,overwork,suitable,75
54,3092,7500000,8/5/2019,,,2564,overwork,suitable,75
55,2590,12000000,8/5/2019,,,2490,overwork,suitable,75
56,2590,10500000,8/20/2019,,,1966,overwork,suitable,75
57,2590,13000000,9/1/2019,,,2047,overwork,suitable,75
58,2590,13000000,8/23/2019,,,2511,overwork,suitable,75
59,2,7000000,7/21/2017,,,2526,overwork,suitable,75
60,2,12500000,6/1/2017,9/4/2020,1191,2111,overwork,suitable,75
61,2629,14500000,2/4/2018,,,2566,overwork,suitable,75
62,2,12500000,2/19/2018,,,2828,overwork,suitable,75
63,2,13500000,7/30/2018,10/18/2019,445,292,overwork,suitable,75
64,2629,8000000,8/3/2018,,,2479,overwork,suitable,75
65,2,12500000,11/5/2018,,,1901,overwork,suitable,75
66,2,10000000,12/10/2018,,,2827,overwork,suitable,75
67,2,6500000,7/1/2019,9/20/2019,81,,inefisien,suitable,25
68,2629,5000000,8/12/2019,2/20/2020,192,792,overwork,suitable,75
69,2,7500000,8/12/2019,,,2483,overwork,suitable,75
70,2629,8500000,2/8/2019,,,2475,overwork,suitable,75
71,2,14000000,8/22/2016,,,2725,overwork,suitable,75
72,2626,9500000,6/20/2018,10/5/2019,472,,inefisien,suitable,25
73,2626,12000000,8/6/2018,,,520,overwork,suitable,75
74,2626,6000000,11/5/2018,,,2599,overwork,suitable,75
75,2626,12000000,10/3/2017,12/28/2019,816,537,overwork,suitable,75
76,2626,7000000,8/22/2016,,,2519,overwork,suitable,75
77,2630,11000000,9/1/2017,,,2544,overwork,suitable,75
78,2631,12000000,10/8/2018,,,2367,overwork,suitable,75
79,2630,5500000,12/21/2018,9/21/2019,274,,inefisien,suitable,25
80,2630,13500000,10/1/2018,,,2393,overwork,suitable,75
81,2630,8000000,10/2/2018,,,2524,overwork,suitable,75
82,2630,14500000,1/14/2019,5/15/2020,487,1352,overwork,suitable,75
83,2625,11500000,12/21/2018,,,2667,overwork,suitable,75
84,2629,11000000,10/2/2017,,,2264,overwork,suitable,75
85,2629,12000000,10/2/2017,,,2449,overwork,suitable,75
86,2629,13000000,4/1/2019,,,2369,overwork,suitable,75
87,2629,6000000,8/1/2018,10/21/2019,446,37,inefisien,not suitable,50
88,2635,10500000,9/10/2018,,,2321,overwork,suitable,75
89,2635,6500000,12/1/2017,11/20/2020,1085,2206,overwork,suitable,75
90,2635,12500000,8/5/2019,12/20/2019,137,485,overwork,suitable,75
91,2634,10000000,4/1/2018,5/20/2020,780,1339,overwork,suitable,75
92,2631,12000000,11/5/2018,,,2548,overwork,suitable,75
93,12722,7000000,8/3/2020,,,2065,overwork,suitable,75
94,2625,8500000,8/6/2018,,,2479,overwork,suitable,75
95,2625,12500000,9/3/2018,,,2484,overwork,suitable,75
96,2625,12500000,4/11/2019,,,2548,overwork,suitable,75
97,2633,12000000,10/8/2018,,,2562,overwork,suitable,75
98,2630,14500000,11/6/2018,,,2593,overwork,suitable,75
99,2629,9500000,2/5/2019,,,2372,overwork,suitable,75
100,2631,9000000,4/26/2019,,,2540,overwork,suitable,75
101,2626,10000000,8/22/2016,12/3/2020,1564,2461,overwork,suitable,75
102,2631,6000000,11/12/2018,,,2573,overwork,suitable,75
103,2633,9500000,4/4/2019,,,2473,overwork,suitable,75
104,2626,6500000,4/12/2019,,,2647,overwork,suitable,75
105,2631,7000000,3/25/2019,,,2566,overwork,suitable,75
9876,1,5000000,9/2/2019,,,2678,overwork,suitable,75
9895,1,7000000,9/2/2019,,,2526,overwork,suitable,75
9896,1,6000000,9/9/2019,,,2765,overwork,suitable,75
9897,1,10000000,9/9/2019,2/20/2020,164,850,overwork,suitable,75
9898,1,11000000,9/11/2019,,,2752,overwork,suitable,75
9899,1,6000000,9/16/2019,,,2664,overwork,suitable,75
9900,1,8000000,9/16/2019,,,2675,overwork,suitable,75
9901,3,10500000,9/2/2019,2/20/2020,171,799,overwork,suitable,75
9902,2633,12500000,8/28/2019,,,2509,overwork,suitable,75
9908,2629,10000000,9/2/2019,,,2547,overwork,suitable,75
10194,2,9500000,11/1/2018,,,,inefisien,suitable,25
10195,3,13500000,8/22/2019,9/10/2019,19,,inefisien,suitable,25
10196,3,6000000,8/22/2019,10/20/2019,59,,inefisien,suitable,25
15132,1,9000000,10/7/2019,,,2511,overwork,suitable,75
15142,1,11500000,9/30/2019,,,2615,overwork,suitable,75
15729,3092,5500000,10/7/2019,,,2415,overwork,suitable,75
15731,3092,10000000,10/7/2019,,,2672,overwork,suitable,75
15735,3092,6000000,10/7/2019,,,2750,overwork,suitable,75
19581,2626,9000000,9/23/2019,,,2360,overwork,suitable,75
21794,3092,7500000,10/12/2019,11/27/2019,46,187,overwork,suitable,75
21798,3092,7500000,10/12/2019,,,5966,inefisien,suitable,25
24347,2626,14500000,10/21/2019,,,2407,overwork,suitable,75
26612,1,9000000,10/21/2019,,,2464,overwork,suitable,75
26622,3,5000000,10/21/2019,,,2512,overwork,suitable,75
26628,3092,12000000,11/4/2019,,,2255,overwork,suitable,75
26631,3092,9000000,11/4/2019,,,2311,overwork,suitable,75
26648,3092,13000000,11/4/2019,,,2467,overwork,suitable,75
28496,2629,12000000,10/28/2019,2/20/2020,115,677,overwork,suitable,75
28754,1,11500000,10/28/2019,,,2501,overwork,suitable,75
28763,1,5500000,10/28/2019,,,2532,overwork,suitable,75
33936,3092,7500000,11/4/2019,,,2318,overwork,suitable,75
34514,2633,14500000,11/1/2019,,,2372,overwork,suitable,75
37659,2633,14000000,11/7/2019,,,2381,overwork,suitable,75
48508,3,12500000,11/26/2019,,,2545,overwork,suitable,75
49616,3092,10000000,11/28/2019,,,6131,inefisien,suitable,25
51311,1,7500000,12/2/2019,,,2197,overwork,suitable,75
53191,2635,6000000,12/5/2019,,,2052,overwork,suitable,75
57649,1,5500000,12/9/2019,,,2191,overwork,suitable,75
58130,1,12500000,12/9/2019,,,2103,overwork,suitable,75
109055,1,6000000,2/12/2020,,,1987,overwork,suitable,75
109100,2,14000000,2/11/2020,,,1975,overwork,suitable,75
111654,1,9000000,2/13/2020,,,1748,overwork,suitable,75
116539,3,9000000,2/21/2020,4/20/2020,59,406,overwork,suitable,75
117041,2629,14500000,2/21/2020,,,1806,overwork,suitable,75
124826,1,8500000,3/2/2020,,,1829,overwork,suitable,75
124906,1,9000000,3/2/2020,,,1893,overwork,suitable,75
129001,2625,6000000,3/9/2020,,,1642,overwork,suitable,75
135834,2590,10000000,3/18/2020,,,1538,overwork,suitable,75
151191,1,13000000,4/9/2020,,,1494,overwork,suitable,75
151407,1,10000000,4/13/2020,,,1485,overwork,suitable,75
152949,2623,11000000,4/15/2020,,,1335,overwork,suitable,75
173827,1,8000000,6/2/2020,,,1243,overwork,suitable,75
173891,2630,7000000,6/1/2020,,,1116,overwork,suitable,75
174070,2,5500000,6/2/2020,,,1257,overwork,suitable,75
187366,2623,11500000,6/21/2020,,,1243,overwork,suitable,75
191274,2623,12500000,6/25/2020,,,1074,overwork,suitable,75
194080,1,12500000,7/1/2020,10/27/2020,118,769,overwork,suitable,75
194422,2623,12000000,6/25/2020,,,1186,overwork,suitable,75
196431,2623,7000000,7/6/2020,,,849,overwork,suitable,75
201506,2,9000000,7/13/2020,,,992,overwork,suitable,75
205227,2590,10000000,7/18/2020,,,824,overwork,suitable,75
208682,1,7000000,7/22/2020,,,947,overwork,suitable,75
213714,3,6000000,8/3/2020,,,885,overwork,suitable,75
218078,1,13000000,8/3/2020,11/28/2020,117,701,overwork,suitable,75
218078,1,10500000,8/3/2020,11/28/2020,117,701,overwork,suitable,75
232954,1,6000000,7/27/2020,,,920,overwork,suitable,75
251119,11265,11000000,8/30/2020,,,735,overwork,suitable,75
251171,2623,5000000,8/24/2020,,,718,overwork,suitable,75
259276,1,10000000,9/7/2020,12/7/2020,91,566,overwork,suitable,75
285438,1,11000000,10/14/2020,,,342,overwork,suitable,75
285454,1,8000000,10/14/2020,,,418,overwork,suitable,75
285511,1,9500000,10/14/2020,,,325,overwork,suitable,75
311335,1,13500000,11/16/2020,,,225,overwork,suitable,75
325787,1,12500000,12/3/2020,,,111,inefisien,not suitable,50
329501,1,13000000,12/7/2020,,,80,inefisien,not suitable,50
331374,2629,6000000,12/7/2020,,,78,inefisien,not suitable,50
340184,1,11500000,12/18/2020,,,8,inefisien,not suitable,50
